policy_id,policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density
ID03907,0.588658569,0.04,0.432692308,C9,17804
ID03908,0.84378505,0.1,0.317307692,C8,8794
ID03909,0.678111546,0.03,0.5,C10,73430
ID03910,0.331854988,0.03,0.730769231,C3,4076
ID03911,0.713347532,0.03,0.5,C9,17804
ID03912,0.933066746,0.01,0.480769231,C3,4076
ID03913,1.13634783,0.06,0.451923077,C8,8794
ID03914,1.195152351,0.08,0.394230769,C14,7788
ID03915,1.236259252,0.03,0.480769231,C8,8794
ID03916,0.368500539,0.02,0.605769231,C5,34738
ID03917,0.002762931,0.15,0.413461538,C13,5410
ID03918,0.197667739,0,0.730769231,C8,8794
ID03919,0.57755008,0.12,0.317307692,C4,21622
ID03920,0.646145697,0.06,0.471153846,C2,27003
ID03921,1.055265768,0.01,0.5,C5,34738
ID03922,1.010163426,0.13,0.490384615,C2,27003
ID03923,1.113703895,0.13,0.625,C8,8794
ID03924,0.706436675,0.01,0.557692308,C10,73430
ID03925,0.672748929,0.01,0.394230769,C8,8794
ID03926,1.159119681,0.03,0.394230769,C13,5410
ID03927,1.021002167,0.13,0.528846154,C14,7788
ID03928,0.596187964,0,0.538461538,C7,6112
ID03929,0.520272229,0,0.701923077,C8,8794
ID03930,0.499628459,0,0.451923077,C10,73430
ID03931,0.579795329,0.13,0.336538462,C8,8794
ID03932,1.215360094,0.06,0.634615385,C8,8794
ID03933,0.188790832,0,0.576923077,C5,34738
ID03934,0.931127439,0.05,0.673076923,C19,27742
ID03935,1.019856605,0.06,0.509615385,C8,8794
ID03936,0.818382033,0.08,0.317307692,C8,8794
ID03937,1.121578448,0.09,0.432692308,C8,8794
ID03938,1.061220158,0.11,0.451923077,C9,17804
ID03939,0.140940351,0.03,0.365384615,C8,8794
ID03940,1.146684231,0.04,0.413461538,C13,5410
ID03941,0.868744998,0.02,0.596153846,C15,290
ID03942,0.052420981,0.11,0.384615385,C8,8794
ID03943,0.299282675,0.02,0.490384615,C8,8794
ID03944,0.34483135,0.11,0.451923077,C8,8794
ID03945,0.4806603,0.08,0.288461538,C2,27003
ID03946,1.091048686,0.06,0.346153846,C1,4990
ID03947,0.053962103,0.01,0.442307692,C9,17804
ID03948,0.939905601,0.08,0.432692308,C5,34738
ID03949,0.141286014,0.03,0.836538462,C14,7788
ID03950,1.025596646,0.05,0.346153846,C8,8794
ID03951,0.443315543,0.12,0.5,C3,4076
ID03952,0.950761621,0.1,0.480769231,C8,8794
ID03953,1.122955366,0.08,0.365384615,C6,13051
ID03954,1.103812682,0.1,0.509615385,C2,27003
ID03955,0.1929767,0.12,0.307692308,C10,73430
ID03956,0.595286925,0.08,0.692307692,C2,27003
ID03957,0.094590843,0.18,0.317307692,C7,6112
ID03958,0.061103377,0,0.307692308,C3,4076
ID03959,0.455793832,0.12,0.451923077,C2,27003
ID03960,1.210781693,0.1,0.509615385,C8,8794
ID03961,0.426437476,0.08,0.346153846,C11,6108
ID03962,1.094262663,0.16,0.75,C10,73430
ID03963,0.99387783,0.02,0.326923077,C3,4076
ID03964,0.087421438,0.13,0.480769231,C8,8794
ID03965,1.24762093,0.09,0.298076923,C12,34791
ID03966,0.589786105,0.08,0.634615385,C2,27003
ID03967,1.208548532,0.13,0.346153846,C12,34791
ID03968,1.070483574,0.14,0.346153846,C13,5410
ID03969,1.221430123,0.14,0.490384615,C1,4990
ID03970,0.396238547,0.19,0.317307692,C13,5410
ID03971,1.028386298,0.01,0.557692308,C13,5410
ID03972,0.313770288,0.06,0.509615385,C13,5410
ID03973,0.184149616,0,0.298076923,C9,17804
ID03974,0.111504133,0.01,0.673076923,C5,34738
ID03975,1.017850468,0.12,0.336538462,C2,27003
ID03976,0.568014588,0.06,0.557692308,C13,5410
ID03977,1.08257338,0.02,0.451923077,C3,4076
ID03978,0.945368104,0.11,0.375,C14,7788
ID03979,0.009973394,0.01,0.336538462,C8,8794
ID03980,0.548888101,0.04,0.480769231,C8,8794
ID03981,0.096366266,0.17,0.480769231,C2,27003
ID03982,0.088859124,0.04,0.336538462,C10,73430
ID03983,0.087492807,0.11,0.625,C6,13051
ID03984,0.914634269,0.04,0.394230769,C5,34738
ID03985,0.086309953,0.01,0.673076923,C9,17804
ID03986,1.024153875,0.07,0.576923077,C2,27003
ID03987,0.458837075,0.04,0.538461538,C22,16733
ID03988,1.167623847,0.01,0.403846154,C8,8794
ID03989,0.065390945,0.31,0.423076923,C4,21622
ID03990,0.22004571,0.02,0.576923077,C14,7788
ID03991,0.465064734,0.11,0.384615385,C8,8794
ID03992,1.144962151,0.06,0.384615385,C2,27003
ID03993,0.139061166,0.02,0.317307692,C3,4076
ID03994,1.189978222,0.05,0.480769231,C8,8794
ID03995,0.27573255,0.05,0.625,C8,8794
ID03996,0.137030457,0.02,0.355769231,C5,34738
ID03997,0.448876746,0.12,0.557692308,C2,27003
ID03998,0.725381041,0.05,0.394230769,C19,27742
ID03999,0.012105525,0.01,0.480769231,C8,8794
ID04000,1.223054557,0.08,0.432692308,C10,73430
ID04001,0.305442456,0.1,0.538461538,C13,5410
ID04002,1.062319796,0.01,0.442307692,C10,73430
ID04003,0.971041906,0.01,0.509615385,C2,27003
ID04004,0.01167967,0.03,0.663461538,C5,34738
ID04005,0.54967497,0.04,0.548076923,C1,4990
ID04006,0.081886418,0.01,0.538461538,C5,34738
ID04007,1.141714188,0.14,0.644230769,C3,4076
ID04008,1.035783782,0.01,0.519230769,C8,8794
ID04009,0.554677631,0,0.423076923,C8,8794
ID04010,0.377861896,0.05,0.346153846,C8,8794
ID04011,1.240192785,0.13,0.509615385,C5,34738
ID04012,0.193945636,0.01,0.384615385,C8,8794
ID04013,0.928997937,0.01,0.394230769,C7,6112
ID04014,1.185936957,0.04,0.730769231,C2,27003
ID04015,0.073808406,0.01,0.557692308,C5,34738
ID04016,0.094783594,0,0.509615385,C3,4076
ID04017,0.589445549,0.03,0.480769231,C11,6108
ID04018,0.475348721,0.02,0.403846154,C5,34738
ID04019,1.237072585,0.16,0.557692308,C9,17804
ID04020,0.00981232,0.1,0.375,C14,7788
ID04021,1.143656933,0.02,0.615384615,C8,8794
ID04022,0.709779278,0.15,0.307692308,C3,4076
ID04023,0.376972025,0.11,0.288461538,C9,17804
ID04024,0.087445674,0.01,0.471153846,C7,6112
ID04025,0.242915478,0.06,0.884615385,C13,5410
ID04026,0.093290835,0.12,0.451923077,C9,17804
ID04027,0.096512425,0.09,0.317307692,C15,290
ID04028,0.064577229,0.02,0.682692308,C5,34738
ID04029,0.845084244,0.08,0.403846154,C2,27003
ID04030,0.304204995,0.11,0.346153846,C14,7788
ID04031,0.24996204,0.03,0.509615385,C7,6112
ID04032,0.062653158,0,0.326923077,C2,27003
ID04033,0.549812646,0.1,0.586538462,C1,4990
ID04034,0.066065883,0.12,0.451923077,C14,7788
ID04035,1.117300289,0.02,0.653846154,C10,73430
ID04036,0.582370675,0.02,0.394230769,C7,6112
ID04037,0.10250001,0.13,0.307692308,C2,27003
ID04038,0.70411873,0.04,0.307692308,C8,8794
ID04039,0.401600083,0.1,0.384615385,C13,5410
ID04040,0.483427745,0.13,0.432692308,C8,8794
ID04041,0.986159467,0.02,0.413461538,C5,34738
ID04042,0.952294405,0.01,0.384615385,C5,34738
ID04043,0.442992868,0.06,0.5,C5,34738
ID04044,1.092740494,0.14,0.365384615,C13,5410
ID04045,0.787424634,0.1,0.317307692,C9,17804
ID04046,1.167974562,0.14,0.288461538,C8,8794
ID04047,0.092267566,0.02,0.461538462,C5,34738
ID04048,0.693302851,0.05,0.403846154,C8,8794
ID04049,0.844323559,0,0.355769231,C5,34738
ID04050,1.029321482,0.11,0.596153846,C13,5410
ID04051,0.80447456,0.01,0.394230769,C2,27003
ID04052,0.409627994,0.04,0.365384615,C4,21622
ID04053,0.012280207,0.05,0.509615385,C8,8794
ID04054,0.030841231,0.12,0.528846154,C12,34791
ID04055,0.336698638,0.1,0.384615385,C8,8794
ID04056,1.039500445,0.01,0.413461538,C8,8794
ID04057,0.331213373,0.15,0.528846154,C8,8794
ID04058,0.27353754,0.05,0.394230769,C8,8794
ID04059,0.961509902,0.12,0.288461538,C2,27003
ID04060,0.096880887,0.02,0.355769231,C7,6112
ID04061,0.607926902,0.05,0.442307692,C10,73430
ID04062,1.048192407,0.01,0.432692308,C8,8794
ID04063,0.412388212,0.1,0.423076923,C5,34738
ID04064,1.103423789,0.01,0.673076923,C13,5410
ID04065,0.096243706,0,0.615384615,C3,4076
ID04066,0.867913109,0.03,0.509615385,C19,27742
ID04067,1.001185346,0.01,0.471153846,C8,8794
ID04068,1.141460875,0.24,0.625,C10,73430
ID04069,0.460717752,0.04,0.519230769,C14,7788
ID04070,1.23010196,0.15,0.346153846,C5,34738
ID04071,1.101132418,0.08,0.615384615,C19,27742
ID04072,0.097077421,0.02,0.576923077,C3,4076
ID04073,1.175147872,0.14,0.394230769,C8,8794
ID04074,0.50355408,0.12,0.346153846,C2,27003
ID04075,0.294395366,0,0.451923077,C3,4076
ID04076,0.036830667,0,0.442307692,C1,4990
ID04077,1.029229247,0.02,0.490384615,C9,17804
ID04078,0.72235957,0.13,0.423076923,C2,27003
ID04079,0.469193055,0.06,0.528846154,C13,5410
ID04080,1.200241561,0.23,0.288461538,C5,34738
ID04081,1.058824031,0.08,0.394230769,C2,27003
ID04082,0.463697274,0.03,0.548076923,C5,34738
ID04083,0.708085079,0.09,0.461538462,C5,34738
ID04084,0.436474089,0,0.355769231,C3,4076
ID04085,0.624539472,0.09,0.288461538,C10,73430
ID04086,1.060051978,0.01,0.336538462,C13,5410
ID04087,0.77071199,0.02,0.519230769,C5,34738
ID04088,1.040052093,0.02,0.451923077,C5,34738
ID04089,0.942546147,0,0.365384615,C5,34738
ID04090,0.23081392,0.01,0.490384615,C6,13051
ID04091,0.597001372,0.02,0.721153846,C3,4076
ID04092,0.344074077,0.05,0.519230769,C9,17804
ID04093,1.242193568,0.13,0.413461538,C14,7788
ID04094,0.577515536,0.08,0.605769231,C8,8794
ID04095,1.093074256,0.05,0.596153846,C5,34738
ID04096,0.230478075,0.09,0.365384615,C8,8794
ID04097,0.711792464,0.06,0.490384615,C2,27003
ID04098,0.136937667,0.06,0.461538462,C6,13051
ID04099,0.003129909,0.13,0.423076923,C2,27003
ID04100,0.230315132,0.08,0.384615385,C8,8794
ID04101,0.461800927,0.16,0.490384615,C2,27003
ID04102,0.360004656,0,0.461538462,C8,8794
ID04103,0.033580404,0.08,0.519230769,C8,8794
ID04104,0.536416612,0.01,0.509615385,C6,13051
ID04105,0.665741671,0.12,0.567307692,C13,5410
ID04106,0.707606011,0.03,0.451923077,C8,8794
ID04107,0.062420507,0,0.480769231,C4,21622
ID04108,1.020651702,0.01,0.480769231,C2,27003
ID04109,0.088269943,0.01,0.442307692,C7,6112
ID04110,0.260799879,0.12,0.336538462,C8,8794
ID04111,0.298691244,0.04,0.403846154,C11,6108
ID04112,1.171331615,0.07,0.288461538,C2,27003
ID04113,0.968418122,0.1,0.346153846,C13,5410
ID04114,0.062077966,0.04,0.451923077,C10,73430
ID04115,0.730014867,0.05,0.413461538,C9,17804
ID04116,0.708019655,0.02,0.538461538,C5,34738
ID04117,1.007412429,0.04,0.346153846,C8,8794
ID04118,0.875032984,0.14,0.375,C2,27003
ID04119,0.743109842,0,0.336538462,C3,4076
ID04120,0.249176936,0.19,0.490384615,C19,27742
ID04121,0.604926459,0.23,0.653846154,C2,27003
ID04122,0.868226626,0.13,0.471153846,C22,16733
ID04123,0.003129623,0.01,0.375,C10,73430
ID04124,0.093876702,0.03,0.413461538,C8,8794
ID04125,0.17948616,0.02,0.442307692,C7,6112
ID04126,0.083814798,0.09,0.298076923,C13,5410
ID04127,0.713693442,0,0.557692308,C8,8794
ID04128,0.087012888,0.04,0.461538462,C10,73430
ID04129,0.087887843,0.07,0.346153846,C1,4990
ID04130,1.088924361,0.05,0.596153846,C6,13051
ID04131,0.940838962,0.08,0.557692308,C10,73430
ID04132,1.033154502,0.04,0.634615385,C14,7788
ID04133,1.094956652,0.14,0.798076923,C1,4990
ID04134,0.040379219,0.12,0.451923077,C5,34738
ID04135,0.098858292,0.09,0.355769231,C1,4990
ID04136,0.423624428,0.02,0.538461538,C2,27003
ID04137,1.056155985,0.01,0.519230769,C14,7788
ID04138,0.21136026,0.07,0.576923077,C8,8794
ID04139,0.524010498,0.15,0.288461538,C9,17804
ID04140,0.587906243,0.01,0.384615385,C8,8794
ID04141,0.073871138,0,0.5,C9,17804
ID04142,1.001312237,0.06,0.317307692,C9,17804
ID04143,1.031475173,0.01,0.509615385,C13,5410
ID04144,1.012387514,0.12,0.538461538,C8,8794
ID04145,1.235165562,0.01,0.557692308,C5,34738
ID04146,0.537128579,0.02,0.490384615,C5,34738
ID04147,0.011784538,0.15,0.586538462,C2,27003
ID04148,0.130948624,0.02,0.432692308,C1,4990
ID04149,0.739916365,0.04,0.394230769,C14,7788
ID04150,0.98948041,0.05,0.528846154,C10,73430
ID04151,0.576345258,0.02,0.634615385,C10,73430
ID04152,1.091899162,0.07,0.471153846,C8,8794
ID04153,0.635922351,0.01,0.307692308,C4,21622
ID04154,0.673084168,0.14,0.403846154,C8,8794
ID04155,1.132133022,0.06,0.730769231,C8,8794
ID04156,0.804980527,0.07,0.384615385,C8,8794
ID04157,0.011201216,0.08,0.461538462,C8,8794
ID04158,1.052423746,0.13,0.528846154,C12,34791
ID04159,1.097218182,0.22,0.576923077,C8,8794
ID04160,0.229303831,0.12,0.288461538,C7,6112
ID04161,0.634968881,0.04,0.480769231,C8,8794
ID04162,0.084021071,0,0.298076923,C2,27003
ID04163,1.080979769,0.03,0.317307692,C5,34738
ID04164,0.63453088,0.06,0.375,C8,8794
ID04165,0.23283824,0.01,0.471153846,C17,65567
ID04166,0.338246238,0.03,0.567307692,C9,17804
ID04167,0.10270952,0,0.509615385,C22,16733
ID04168,0.422990634,0.01,0.596153846,C7,6112
ID04169,0.523596867,0.03,0.317307692,C8,8794
ID04170,1.142108843,0.14,0.423076923,C10,73430
ID04171,0.793231745,0.12,0.317307692,C2,27003
ID04172,0.704755525,0.12,0.413461538,C11,6108
ID04173,0.02088741,0,0.692307692,C9,17804
ID04174,0.345591273,0,0.567307692,C17,65567
ID04175,1.184921652,0.04,0.317307692,C7,6112
ID04176,0.097403982,0.11,0.451923077,C15,290
ID04177,1.139146081,0.11,0.567307692,C8,8794
ID04178,1.075594029,0.07,0.355769231,C8,8794
ID04179,0.186215922,0.06,0.721153846,C8,8794
ID04180,1.007368695,0.05,0.490384615,C14,7788
ID04181,0.992904258,0.06,0.509615385,C8,8794
ID04182,0.25757084,0.1,0.461538462,C2,27003
ID04183,0.491983679,0.14,0.288461538,C8,8794
ID04184,0.343082984,0.02,0.567307692,C3,4076
ID04185,0.081288871,0.18,0.442307692,C9,17804
ID04186,0.289940504,0.05,0.788461538,C2,27003
ID04187,1.207868307,0.08,0.798076923,C10,73430
ID04188,0.099901399,0.01,0.471153846,C5,34738
ID04189,0.242586366,0.03,0.394230769,C11,6108
ID04190,1.18527846,0.17,0.461538462,C2,27003
ID04191,1.204136271,0.14,0.692307692,C8,8794
ID04192,0.304646113,0.08,0.490384615,C2,27003
ID04193,0.596293911,0.14,0.480769231,C19,27742
ID04194,0.694196587,0.13,0.471153846,C17,65567
ID04195,1.064346987,0.07,0.307692308,C3,4076
ID04196,0.146152864,0.01,0.528846154,C8,8794
ID04197,0.922070188,0.03,0.413461538,C14,7788
ID04198,1.192412905,0.11,0.625,C13,5410
ID04199,0.077906266,0.13,0.394230769,C8,8794
ID04200,0.537316654,0,0.394230769,C3,4076
ID04201,0.710652808,0.03,0.336538462,C12,34791
ID04202,1.058672221,0.02,0.509615385,C14,7788
ID04203,0.24536847,0.12,0.394230769,C5,34738
ID04204,1.096248233,0.1,0.788461538,C8,8794
ID04205,0.570355326,0.05,0.730769231,C4,21622
ID04206,0.270897731,0.04,0.576923077,C8,8794
ID04207,1.223555247,0.11,0.480769231,C8,8794
ID04208,1.214121076,0.1,0.519230769,C12,34791
ID04209,0.985105934,0.02,0.403846154,C3,4076
ID04210,0.01200151,0.02,0.461538462,C6,13051
ID04211,1.084052803,0.16,0.307692308,C5,34738
ID04212,0.412557618,0.04,0.519230769,C11,6108
ID04213,1.143288682,0.01,0.490384615,C13,5410
ID04214,0.047346033,0.04,0.317307692,C14,7788
ID04215,1.003934235,0.03,0.596153846,C8,8794
ID04216,0.299205464,0.04,0.413461538,C5,34738
ID04217,1.172212935,0.05,0.365384615,C8,8794
ID04218,0.071229996,0.06,0.317307692,C3,4076
ID04219,1.050577835,0.09,0.317307692,C13,5410
ID04220,1.141897794,0.09,0.567307692,C8,8794
ID04221,0.127923385,0.01,0.317307692,C3,4076
ID04222,0.010190653,0,0.509615385,C2,27003
ID04223,1.225224701,0.11,0.394230769,C8,8794
ID04224,0.067894415,0.01,0.480769231,C15,290
ID04225,1.039441624,0.08,0.519230769,C2,27003
ID04226,0.06912421,0,0.673076923,C5,34738
ID04227,0.099696764,0.14,0.298076923,C10,73430
ID04228,1.012696748,0.13,0.461538462,C19,27742
ID04229,0.824068739,0.01,0.692307692,C5,34738
ID04230,1.148228912,0.14,0.384615385,C13,5410
ID04231,0.402505818,0.02,0.375,C3,4076
ID04232,1.07256673,0.16,0.394230769,C5,34738
ID04233,0.03558144,0,0.288461538,C5,34738
ID04234,0.085827541,0.03,0.548076923,C9,17804
ID04235,0.076537475,0,0.701923077,C1,4990
ID04236,0.096681016,0.05,0.625,C5,34738
ID04237,0.523390101,0.1,0.451923077,C8,8794
ID04238,0.247315832,0.1,0.442307692,C8,8794
ID04239,0.848226072,0.01,0.605769231,C3,4076
ID04240,0.035655898,0.08,0.346153846,C2,27003
ID04241,0.072037327,0.05,0.288461538,C1,4990
ID04242,1.200028018,0.02,0.451923077,C5,34738
ID04243,0.108084447,0,0.461538462,C8,8794
ID04244,1.233818929,0.17,0.355769231,C8,8794
ID04245,0.985780835,0.05,0.326923077,C5,34738
ID04246,0.30859534,0.15,0.490384615,C13,5410
ID04247,0.532137283,0.14,0.548076923,C19,27742
ID04248,0.831727624,0.06,0.653846154,C10,73430
ID04249,0.359440956,0,0.548076923,C5,34738
ID04250,0.863391812,0.21,0.471153846,C8,8794
ID04251,0.081948899,0.01,0.317307692,C4,21622
ID04252,0.093421986,0.01,0.480769231,C5,34738
ID04253,0.607015768,0,0.519230769,C17,65567
ID04254,0.112087128,0.09,0.451923077,C11,6108
ID04255,1.110812703,0.15,0.355769231,C8,8794
ID04256,1.192928423,0.06,0.615384615,C5,34738
ID04257,0.084984345,0.02,0.471153846,C9,17804
ID04258,0.464249888,0.16,0.471153846,C3,4076
ID04259,1.234290837,0.17,0.682692308,C8,8794
ID04260,0.040242107,0,0.451923077,C3,4076
ID04261,1.064202467,0.1,0.375,C8,8794
ID04262,0.368639375,0.04,0.394230769,C3,4076
ID04263,1.15322561,0.06,0.576923077,C8,8794
ID04264,1.003481038,0.03,0.548076923,C7,6112
ID04265,1.084866006,0.04,0.625,C8,8794
ID04266,0.943605246,0.05,0.336538462,C6,13051
ID04267,0.66501146,0.02,0.471153846,C14,7788
ID04268,1.023075051,0.09,0.644230769,C8,8794
ID04269,0.082691822,0.01,0.355769231,C3,4076
ID04270,1.128710968,0.02,0.807692308,C8,8794
ID04271,0.37032895,0.16,0.442307692,C3,4076
ID04272,0.621029103,0.09,0.461538462,C5,34738
ID04273,0.904576403,0.1,0.740384615,C13,5410
ID04274,1.083951508,0.06,0.557692308,C3,4076
ID04275,0.500518797,0.01,0.5,C11,6108
ID04276,1.148322168,0.1,0.451923077,C8,8794
ID04277,0.790488075,0.06,0.509615385,C3,4076
ID04278,0.794058621,0.11,0.394230769,C8,8794
ID04279,0.192528646,0,0.326923077,C3,4076
ID04280,1.170574156,0.16,0.740384615,C8,8794
ID04281,1.059925439,0.29,0.480769231,C3,4076
ID04282,0.530222512,0.02,0.634615385,C3,4076
ID04283,0.508666702,0.01,0.509615385,C7,6112
ID04284,1.236257098,0.12,0.346153846,C2,27003
ID04285,0.640073447,0,0.663461538,C15,290
ID04286,1.048134892,0.05,0.5,C3,4076
ID04287,0.333589813,0.03,0.355769231,C5,34738
ID04288,0.719319421,0.1,0.394230769,C2,27003
ID04289,1.191397434,0.01,0.451923077,C4,21622
ID04290,0.704090122,0,0.423076923,C9,17804
ID04291,0.221437151,0.07,0.346153846,C13,5410
ID04292,1.059061977,0.06,0.451923077,C7,6112
ID04293,0.612891473,0,0.701923077,C18,35036
ID04294,1.11458648,0.1,0.490384615,C8,8794
ID04295,1.11623071,0.07,0.528846154,C13,5410
ID04296,0.031154651,0.02,0.365384615,C9,17804
ID04297,0.746358921,0.01,0.548076923,C5,34738
ID04298,0.987526405,0.08,0.759615385,C14,7788
ID04299,0.519512899,0.07,0.625,C10,73430
ID04300,0.080329886,0.01,0.394230769,C13,5410
ID04301,1.067914181,0.05,0.365384615,C6,13051
ID04302,0.924788118,0.1,0.509615385,C8,8794
ID04303,0.111530063,0,0.596153846,C14,7788
ID04304,0.270726377,0.06,0.634615385,C8,8794
ID04305,1.095625812,0.04,0.653846154,C8,8794
ID04306,0.161626772,0.07,0.538461538,C7,6112
ID04307,0.871623372,0.12,0.509615385,C9,17804
ID04308,1.112651137,0.17,0.432692308,C8,8794
ID04309,0.024989898,0,0.336538462,C1,4990
ID04310,0.348407904,0.11,0.403846154,C13,5410
ID04311,0.267993764,0.17,0.490384615,C8,8794
ID04312,1.246946275,0.06,0.307692308,C14,7788
ID04313,1.066845774,0.2,0.721153846,C8,8794
ID04314,0.687862595,0.03,0.644230769,C3,4076
ID04315,1.136990871,0.15,0.375,C13,5410
ID04316,0.125152174,0.11,0.528846154,C9,17804
ID04317,1.210001369,0.05,0.663461538,C5,34738
ID04318,0.774443189,0.08,0.423076923,C9,17804
ID04319,0.132003745,0.06,0.442307692,C3,4076
ID04320,1.080540943,0.11,0.326923077,C8,8794
ID04321,1.098462749,0.04,0.596153846,C8,8794
ID04322,1.154690658,0.21,0.490384615,C8,8794
ID04323,1.11221026,0.12,0.769230769,C8,8794
ID04324,0.140964666,0.11,0.548076923,C8,8794
ID04325,0.614625464,0.09,0.509615385,C2,27003
ID04326,0.44243398,0.03,0.375,C13,5410
ID04327,0.615252925,0.15,0.557692308,C3,4076
ID04328,0.194992944,0.12,0.442307692,C2,27003
ID04329,0.787109895,0.08,0.384615385,C8,8794
ID04330,1.038647475,0.13,0.384615385,C3,4076
ID04331,0.660470729,0.13,0.326923077,C15,290
ID04332,0.071698613,0,0.5,C4,21622
ID04333,0.139968007,0.01,0.288461538,C14,7788
ID04334,1.236794876,0.17,0.519230769,C21,3264
ID04335,0.82179379,0,0.384615385,C3,4076
ID04336,0.551375231,0.1,0.365384615,C16,16206
ID04337,0.367169342,0.01,0.423076923,C2,27003
ID04338,1.0036374,0.14,0.432692308,C17,65567
ID04339,0.233151099,0.02,0.451923077,C13,5410
ID04340,0.045483151,0,0.442307692,C9,17804
ID04341,0.366227135,0.02,0.509615385,C5,34738
ID04342,0.343838623,0.03,0.365384615,C8,8794
ID04343,0.064831577,0,0.461538462,C10,73430
ID04344,0.855782566,0.09,0.5,C8,8794
ID04345,0.253809926,0.14,0.451923077,C9,17804
ID04346,0.010564125,0.02,0.586538462,C10,73430
ID04347,0.031083203,0.02,0.413461538,C5,34738
ID04348,0.692365197,0.14,0.413461538,C8,8794
ID04349,0.888400942,0.01,0.740384615,C5,34738
ID04350,1.048136265,0.19,0.721153846,C8,8794
ID04351,0.628934576,0,0.442307692,C3,4076
ID04352,0.244280691,0.15,0.557692308,C10,73430
ID04353,0.097014954,0.03,0.365384615,C13,5410
ID04354,0.537452641,0.13,0.480769231,C2,27003
ID04355,0.926882022,0.05,0.778846154,C5,34738
ID04356,0.336454747,0.04,0.413461538,C4,21622
ID04357,1.154620095,0.02,0.288461538,C4,21622
ID04358,0.539304882,0.1,0.432692308,C5,34738
ID04359,0.022627003,0.1,0.442307692,C7,6112
ID04360,0.582706929,0.03,0.336538462,C5,34738
ID04361,1.037853876,0.03,0.490384615,C5,34738
ID04362,0.043477892,0.05,0.375,C7,6112
ID04363,1.207316089,0.11,0.673076923,C6,13051
ID04364,1.151157376,0.08,0.375,C8,8794
ID04365,0.547136619,0.03,0.384615385,C11,6108
ID04366,1.172892009,0.01,0.576923077,C8,8794
ID04367,0.058615806,0,0.644230769,C13,5410
ID04368,1.15281322,0.01,0.538461538,C17,65567
ID04369,1.145032179,0.15,0.605769231,C8,8794
ID04370,0.098135629,0.08,0.730769231,C8,8794
ID04371,1.002330756,0.14,0.346153846,C2,27003
ID04372,0.735622338,0.03,0.586538462,C8,8794
ID04373,0.386195204,0.02,0.519230769,C10,73430
ID04374,1.087549707,0.03,0.557692308,C3,4076
ID04375,0.292323835,0.04,0.586538462,C2,27003
ID04376,0.061500801,0,0.490384615,C5,34738
ID04377,1.062175104,0.04,0.451923077,C8,8794
ID04378,0.147133385,0.12,0.461538462,C1,4990
ID04379,0.353666781,0.11,0.596153846,C1,4990
ID04380,0.03423709,0.06,0.663461538,C5,34738
ID04381,0.010026084,0.06,0.557692308,C2,27003
ID04382,0.855806278,0,0.461538462,C8,8794
ID04383,0.032059388,0,0.461538462,C2,27003
ID04384,0.256196763,0.07,0.307692308,C1,4990
ID04385,0.396397023,0.02,0.403846154,C6,13051
ID04386,1.039739963,0.1,0.692307692,C12,34791
ID04387,0.021751499,0.09,0.548076923,C2,27003
ID04388,0.141458249,0,0.394230769,C5,34738
ID04389,0.121433414,0.02,0.461538462,C15,290
ID04390,1.131731761,0.08,0.711538462,C8,8794
ID04391,1.243236633,0.13,0.644230769,C8,8794
ID04392,0.836988343,0.06,0.567307692,C8,8794
ID04393,0.296861486,0.04,0.365384615,C3,4076
ID04394,1.037577711,0.03,0.394230769,C14,7788
ID04395,0.539930775,0.03,0.375,C3,4076
ID04396,1.118812705,0.05,0.461538462,C14,7788
ID04397,0.411184838,0.11,0.528846154,C8,8794
ID04398,0.527217486,0.01,0.288461538,C10,73430
ID04399,0.096479006,0.12,0.355769231,C8,8794
ID04400,0.198765625,0.06,0.423076923,C8,8794
ID04401,1.068516999,0.03,0.461538462,C6,13051
ID04402,1.013612462,0.16,0.403846154,C8,8794
ID04403,0.080247176,0.09,0.317307692,C11,6108
ID04404,1.071275864,0.09,0.326923077,C13,5410
ID04405,0.824195655,0.01,0.461538462,C10,73430
ID04406,0.03672259,0.01,0.326923077,C12,34791
ID04407,1.086286034,0.02,0.442307692,C14,7788
ID04408,0.151356177,0.01,0.451923077,C8,8794
ID04409,0.994688373,0.02,0.403846154,C9,17804
ID04410,1.095600309,0.1,0.288461538,C8,8794
ID04411,0.032403205,0.03,0.673076923,C19,27742
ID04412,0.183187162,0.01,0.375,C18,35036
ID04413,0.082340772,0.11,0.423076923,C8,8794
ID04414,0.515132746,0.13,0.557692308,C2,27003
ID04415,0.63840874,0.04,0.471153846,C1,4990
ID04416,0.206149859,0,0.346153846,C3,4076
ID04417,0.084592847,0.03,0.519230769,C14,7788
ID04418,0.185628151,0.17,0.471153846,C8,8794
ID04419,0.72692761,0.03,0.721153846,C2,27003
ID04420,0.462259891,0.03,0.548076923,C14,7788
ID04421,0.011438691,0.04,0.509615385,C8,8794
ID04422,1.145323728,0,0.615384615,C7,6112
ID04423,1.173389513,0.02,0.355769231,C12,34791
ID04424,0.122864041,0,0.605769231,C9,17804
ID04425,0.794675864,0.18,0.5,C8,8794
ID04426,0.120002842,0.03,0.788461538,C13,5410
ID04427,1.101920913,0.12,0.788461538,C14,7788
ID04428,0.086060951,0.04,0.403846154,C3,4076
ID04429,0.748532578,0.01,0.317307692,C2,27003
